setting,species,signal,specific,articulator,dominance_con,dominance_cat,context,fs,gr,jt,mo,NA,pl,st,sx,no_cases,D_fs,D_gr,D_jt,D_mo,D_NA,D_pl,D_st,D_sx,no_subjects
captive,Sum,grab/hold onto,0,manual ,0.73255814,L,pl,3,0,11,1,1,63,5,2,86,0.034883721,0,0.127906977,0.011627907,0.011627907,0.73255814,0.058139535,0.023255814,17
captive,Sum,head-butt,0,bodily,1,T,pl,0,0,0,0,0,14,0,0,14,0,0,0,0,0,1,0,0,10
captive,Sum,hit/kick,0,manual ,0.935483871,T,pl,0,0,0,0,0,29,2,0,31,0,0,0,0,0,0.935483871,0.064516129,0,13
captive,Sum,kiss,0,bodily,0.739130435,T,pl,0,4,0,0,0,17,0,2,23,0,0.173913043,0,0,0,0.739130435,0,0.086956522,14
captive,Sum,lay down,1,bodily,1,T,pl,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3
captive,Sum,look at,0,bodily,0.785714286,L,pl,0,1,2,1,0,22,2,0,28,0,0.035714286,0.071428571,0.035714286,0,0.785714286,0.071428571,0,13
captive,Sum,look back at,1,bodily,0.764705882,T,pl,0,1,3,0,0,13,0,0,17,0,0.058823529,0.176470588,0,0,0.764705882,0,0,9
captive,Sum,look through thighs,1,bodily,1,T,pl,0,0,0,0,0,4,0,0,4,0,0,0,0,0,1,0,0,1
captive,Sum,peer,0,bodily,0.736842105,T,fs,14,0,0,0,0,5,0,0,19,0.736842105,0,0,0,0,0.263157895,0,0,16
captive,Sum,place limb,0,manual ,0.823529412,T,pl,0,1,0,0,0,14,2,0,17,0,0.058823529,0,0,0,0.823529412,0.117647059,0,8
captive,Sum,play face,0,facial,0.954545455,T,pl,0,0,0,1,0,21,0,0,22,0,0,0,0.045454545,0,0.954545455,0,0,11
captive,Sum,poke,0,manual ,0.804878049,T,pl,0,0,0,3,1,33,4,0,41,0,0,0,0.073170732,0.024390244,0.804878049,0.097560976,0,12
captive,Sum,pout face,0,facial,0.8,T,pl,1,0,0,0,0,4,0,0,5,0.2,0,0,0,0,0.8,0,0,5
captive,Sum,present bp,0,bodily,0.52173913,L,gr,1,12,2,0,0,7,0,1,23,0.043478261,0.52173913,0.086956522,0,0,0.304347826,0,0.043478261,8
captive,Sum,present obj,0,manual ,1,T,pl,0,0,0,0,0,11,0,0,11,0,0,0,0,0,1,0,0,6
captive,Sum,pull,0,manual ,0.614583333,L,pl,5,2,15,0,8,59,5,2,96,0.052083333,0.020833333,0.15625,0,0.083333333,0.614583333,0.052083333,0.020833333,18
captive,Sum,push,0,manual ,0.541666667,L,st,1,0,4,5,0,7,26,5,48,0.020833333,0,0.083333333,0.104166667,0,0.145833333,0.541666667,0.104166667,15
captive,Sum,raise limb,0,manual ,0.6,L,pl,0,0,0,1,0,6,3,0,10,0,0,0,0.1,0,0.6,0.3,0,11
captive,Sum,reach,0,manual ,0.695652174,L,pl,0,0,6,0,1,32,7,0,46,0,0,0.130434783,0,0.02173913,0.695652174,0.152173913,0,16
captive,Sum,rise up,1,bodily,0.666666667,L,st,0,0,2,0,0,0,1,0,3,0,0,0.666666667,0,0,0,0.333333333,0,4
captive,Sum,rub on rec,0,bodily,0.625,L,sx,0,0,0,0,0,6,0,10,16,0,0,0,0,0,0.375,0,0.625,7
captive,Sum,somersault,1,bodily,1,T,pl,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,2
captive,Sum,spit,1,bodily,0.666666667,L,pl,2,0,0,0,0,4,0,0,6,0.333333333,0,0,0,0,0.666666667,0,0,1
captive,Sum,swing/dangle,0,bodily,1,T,pl,0,0,0,0,0,34,0,0,34,0,0,0,0,0,1,0,0,9
captive,Sum,throw obj,1,manual ,1,T,pl,0,0,0,0,0,3,0,0,3,0,0,0,0,0,1,0,0,5
captive,Sum,throw self,0,bodily,0.970588235,T,pl,0,0,1,0,0,33,0,0,34,0,0,0.029411765,0,0,0.970588235,0,0,11
captive,Sum,tickle,0,manual ,0.8,T,pl,0,1,0,0,0,4,0,0,5,0,0.2,0,0,0,0.8,0,0,5
captive,Sum,touch,0,manual ,0.590909091,L,pl,1,7,6,1,1,39,6,5,66,0.015151515,0.106060606,0.090909091,0.015151515,0.015151515,0.590909091,0.090909091,0.075757576,18
wild,Sum,beg hand-hand,0,manual ,0.964912281,T,fs,55,0,0,0,2,0,0,0,57,0.964912281,0,0,0,0.035087719,0,0,0,9
wild,Sum,beg hand-mouth,0,manual ,0.894736842,T,fs,51,0,0,0,6,0,0,0,57,0.894736842,0,0,0,0.105263158,0,0,0,7
wild,Sum,beg mouth-hand,0,bodily,0.842105263,T,fs,16,0,0,0,3,0,0,0,19,0.842105263,0,0,0,0.157894737,0,0,0,7
wild,Sum,beg mouth-mouth,0,bodily,1,T,fs,20,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,9
wild,Sum,bite,0,bodily,0.75,T,pl,1,0,0,0,0,3,0,0,4,0.25,0,0,0,0,0.75,0,0,7
wild,Sum,bite attempt,0,bodily,0.75,T,pl,1,0,1,0,0,9,1,0,12,0.083333333,0,0.083333333,0,0,0.75,0.083333333,0,11
wild,Sum,embrace,0,manual ,0.5,L,fs,5,0,3,0,0,2,0,0,10,0.5,0,0.3,0,0,0.2,0,0,6
wild,Sum,flail limb,0,manual ,1,T,pl,0,0,0,0,0,20,0,0,20,0,0,0,0,0,1,0,0,7
wild,Sum,grab/hold onto,0,manual ,0.433333333,A,pl,21,0,70,1,3,78,7,0,180,0.116666667,0,0.388888889,0.005555556,0.016666667,0.433333333,0.038888889,0,17
wild,Sum,head-butt,0,manual ,1,T,pl,0,0,0,0,0,3,0,0,3,0,0,0,0,0,1,0,0,2
wild,Sum,hit/kick,0,manual ,0.5,L,pl,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0.5,0.5,0,5
wild,Sum,kiss,0,manual ,1,T,pl,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,6
wild,Sum,look at,0,manual ,0.604166667,L,pl,8,0,11,0,0,29,0,0,48,0.166666667,0,0.229166667,0,0,0.604166667,0,0,18
wild,Sum,look back at,1,manual ,0.5,L,pl,0,0,0,1,0,1,0,0,2,0,0,0,0.5,0,0.5,0,0,2
wild,Sum,look through thighs,1,manual ,NA,NA,pl,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2
wild,Sum,loud scratch,0,manual ,0.692307692,L,jt,0,0,9,0,0,4,0,0,13,0,0,0.692307692,0,0,0.307692308,0,0,8
wild,Sum,peer,0,bodily,0.545454545,L,fs,6,0,0,0,0,5,0,0,11,0.545454545,0,0,0,0,0.454545455,0,0,12
wild,Sum,place limb,0,manual ,0.446428571,A,pl,13,0,17,0,1,25,0,0,56,0.232142857,0,0.303571429,0,0.017857143,0.446428571,0,0,13
wild,Sum,play face,0,facial,0.909090909,T,pl,1,0,0,0,0,10,0,0,11,0.090909091,0,0,0,0,0.909090909,0,0,7
wild,Sum,poke,0,manual ,1,T,pl,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,2
wild,Sum,present bp,0,bodily,0.473684211,A,pl,6,0,3,0,0,9,1,0,19,0.315789474,0,0.157894737,0,0,0.473684211,0.052631579,0,9
wild,Sum,present obj,0,manual ,0.666666667,L,pl,2,0,0,0,0,1,0,0,3,0.666666667,0,0,0,0,0.333333333,0,0,3
wild,Sum,pull,0,manual ,0.432989691,A,fs,42,1,14,0,0,35,5,0,97,0.432989691,0.010309278,0.144329897,0,0,0.360824742,0.051546392,0,14
wild,Sum,push,0,manual ,0.404761905,A,st,9,0,0,0,1,15,17,0,42,0.214285714,0,0,0,0.023809524,0.357142857,0.404761905,0,15
wild,Sum,raise limb,0,manual ,0.4,A,pl,1,0,2,0,0,2,0,0,5,0.2,0,0.4,0,0,0.4,0,0,7
wild,Sum,reach,0,manual ,0.720588235,T,pl,5,1,13,0,0,49,0,0,68,0.073529412,0.014705882,0.191176471,0,0,0.720588235,0,0,18
wild,Sum,rub on rec,0,bodily,1,T,pl,0,0,0,0,0,10,0,0,10,0,0,0,0,0,1,0,0,5
wild,Sum,shake object,0,manual ,1,T,pl,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2
wild,Sum,swing/dangle,0,bodily,0.818181818,T,pl,2,1,3,0,0,27,0,0,33,0.060606061,0.03030303,0.090909091,0,0,0.818181818,0,0,8
wild,Sum,throw self,0,bodily,0.720430108,T,pl,14,2,8,0,1,67,1,0,93,0.150537634,0.021505376,0.086021505,0,0.010752688,0.720430108,0.010752688,0,2
wild,Sum,tickle,0,manual ,NA,NA,pl,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3
wild,Sum,touch,0,manual ,0.720430108,T,pl,14,2,8,0,1,67,1,0,93,0.150537634,0.021505376,0.086021505,0,0.010752688,0.720430108,0.010752688,0,17
