no,setting,species,signal,articulator,dominance_con,dominance_cat,context,fs,gr,jt,mo,NA,pl,st,sx,no_cases,max_cases,no_subjects
86,captive,Sum,pull,manual ,0.614583333,L,pl,5,2,15,0,8,59,5,2,96,59,18
87,captive,Sum,push,manual ,0.541666667,L,st,1,0,4,5,0,7,26,5,48,26,15
88,captive,Sum,raise limb,manual ,0.6,L,pl,0,0,0,1,0,6,3,0,10,6,11
89,captive,Sum,reach,manual ,0.695652174,L,pl,0,0,6,0,1,32,7,0,46,32,16
90,captive,Sum,rise up,bodily,0.666666667,L,jt,0,0,2,0,0,0,1,0,3,2,4
91,captive,Sum,rub body ,bodily,0.625,L,sx,0,0,0,0,0,6,0,10,16,10,7
92,captive,Sum,somersault,bodily,1,T,pl,0,0,0,0,0,2,0,0,2,2,2
93,captive,Sum,spit,bodily,0.666666667,L,pl,2,0,0,0,0,4,0,0,6,4,1
94,captive,Sum,swing/dangle,bodily,1,T,pl,0,0,0,0,0,34,0,0,34,34,9
95,captive,Sum,throw obj,manual ,1,T,pl,0,0,0,0,0,3,0,0,3,3,5
96,captive,Sum,throw self,bodily,0.970588235,T,pl,0,0,1,0,0,33,0,0,34,33,11
97,captive,Sum,tickle,manual ,0.8,T,pl,0,1,0,0,0,4,0,0,5,4,5
98,captive,Sum,touch,manual ,0.590909091,L,pl,1,7,6,1,1,39,6,5,66,39,18
99,wild,Sum,beg hand-hand,manual ,0.964912281,T,fs,55,0,0,0,2,0,0,0,57,55,9
100,wild,Sum,beg hand-mouth,manual ,0.894736842,T,fs,51,0,0,0,6,0,0,0,57,51,7
101,wild,Sum,beg mouth-hand,bodily,0.842105263,T,fs,16,0,0,0,3,0,0,0,19,16,7
102,wild,Sum,beg mouth-mouth,bodily,1,T,fs,20,0,0,0,0,0,0,0,20,20,9
103,wild,Sum,bite,bodily,0.75,T,pl,1,0,0,0,0,3,0,0,4,3,7
104,wild,Sum,bite attempt,bodily,0.75,T,pl,1,0,1,0,0,9,1,0,12,9,11
105,wild,Sum,embrace,manual ,0.5,L,fs,5,0,3,0,0,2,0,0,10,5,6
